,decision_id,type of insurance,premium/payment,service attitude/communication,fail to meet customer's expectations,claims processing delays,policy terms,gender,location,title,date,company,decision,extras,tag
17,DRN-4687672,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4687672.pdf,Decision Reference DRN-4687672,11-Jun-24,Aviva Insurance Limited,Upheld,,Insurance
18,DRN-4813742,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4813742.pdf,Decision Reference DRN-4813742,10-Jun-24,Accredited Insurance (Europe) Ltd,Upheld,,Insurance
19,DRN-4773899,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4773899.pdf,Decision Reference DRN-4773899,10-Jun-24,Domestic & General Insurance Plc,Upheld,,Insurance
20,DRN-4728728,Motor,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4728728.pdf,Decision Reference DRN-4728728,10-Jun-24,Hedgehog Limited,Not upheld,,Insurance
21,DRN-4843016,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4843016.pdf,Decision Reference DRN-4843016,10-Jun-24,Acasta European Insurance Company Limited,Upheld,,Insurance
22,DRN-4818085,Travel,No,Yes,Yes,No,Yes,Female,decision/DRN-4818085.pdf,Decision Reference DRN-4818085,10-Jun-24,Astrenska Insurance Limited,Not upheld,,Insurance
23,DRN-4825139,Motor,No,Yes,Yes,Yes,No,Female,decision/DRN-4825139.pdf,Decision Reference DRN-4825139,10-Jun-24,First Central Underwriting Limited,Upheld,,Insurance
24,DRN-4767697,Motor,No,No,Yes,No,Yes,Male,decision/DRN-4767697.pdf,Decision Reference DRN-4767697,10-Jun-24,Close Brothers Limited,Not upheld,,Insurance
25,DRN-4588024,Household and Commercial Property,Yes,No,Yes,No,No,Not mentioned,decision/DRN-4588024.pdf,Decision Reference DRN-4588024,10-Jun-24,Aviva Insurance Limited,Not upheld,,Insurance
26,DRN-4843342,Motor,No,Yes,Yes,Yes,No,Female,decision/DRN-4843342.pdf,Decision Reference DRN-4843342,10-Jun-24,Mulsanne Insurance Company Limited,Upheld,,Insurance
27,DRN-4801271,Motor,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4801271.pdf,Decision Reference DRN-4801271,10-Jun-24,Advantage Insurance Company Limited,Upheld,,Insurance
28,DRN-4793032,Household and Commercial Property,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4793032.pdf,Decision Reference DRN-4793032,10-Jun-24,AXA Insurance UK Plc,Upheld,,Insurance
29,DRN-4844006,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4844006.pdf,Decision Reference DRN-4844006,10-Jun-24,U K Insurance Limited,Upheld,,Insurance
30,DRN-4829623,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4829623.pdf,Decision Reference DRN-4829623,10-Jun-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
31,DRN-4782294,Motor,Yes,Yes,Yes,No,No,Male,decision/DRN-4782294.pdf,Decision Reference DRN-4782294,10-Jun-24,Tesco Underwriting Limited,Not upheld,,Insurance
32,DRN-4836396,Travel,No,Yes,Yes,No,Yes,Male,decision/DRN-4836396.pdf,Decision Reference DRN-4836396,10-Jun-24,Inter Partner Assistance SA,Upheld,,Insurance
33,DRN-4843646,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4843646.pdf,Decision Reference DRN-4843646,10-Jun-24,Accredited Insurance (Europe) Ltd,Upheld,,Insurance
34,DRN-4650771,Others,No,No,No,No,No,Not specified,decision/DRN-4650771.pdf,Decision Reference DRN-4650771,10-Jun-24,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
35,DRN-4837166,Life,No,No,Yes,No,Yes,Male,decision/DRN-4837166.pdf,Decision Reference DRN-4837166,10-Jun-24,Legal and General Assurance Society Limited,Not upheld,,Insurance
36,DRN-4754981,Animal,No,No,Yes,No,Yes,Male,decision/DRN-4754981.pdf,Decision Reference DRN-4754981,10-Jun-24,U K Insurance Limited,Not upheld,,Insurance
37,DRN-4834651,Travel,No,Yes,Yes,No,Yes,Female,decision/DRN-4834651.pdf,Decision Reference DRN-4834651,10-Jun-24,AWP P&C S.A.,Upheld,,Insurance
38,DRN-4790445,Animal,No,Yes,Yes,No,Yes,Male,decision/DRN-4790445.pdf,Decision Reference DRN-4790445,10-Jun-24,Casualty & General Insurance Company (Europe) Ltd,Not upheld,,Insurance
39,DRN-4706644,Health,No,No,Yes,No,Yes,Female,decision/DRN-4706644.pdf,Decision Reference DRN-4706644,10-Jun-24,Vitality Health Limited,Not upheld,,Insurance
40,DRN-4474758,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4474758.pdf,Decision Reference DRN-4474758,10-Jun-24,AA Underwriting Insurance Company Limited,Upheld,,Insurance
41,DRN-4634828,Health,No,No,Yes,No,Yes,Female,decision/DRN-4634828.pdf,Decision Reference DRN-4634828,10-Jun-24,Aviva Life & Pensions UK Limited,Not upheld,,Insurance
42,DRN-4383213,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4383213.pdf,Decision Reference DRN-4383213,10-Jun-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
43,DRN-4719022,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4719022.pdf,Decision Reference DRN-4719022,10-Jun-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
44,DRN-4843008,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4843008.pdf,Decision Reference DRN-4843008,10-Jun-24,Allied World Assurance Company (Europe) dac,Upheld,,Insurance
45,DRN-4806245,Payment Protection,Yes,Yes,Yes,Yes,Yes,Male,decision/DRN-4806245.pdf,Decision Reference DRN-4806245,10-Jun-24,Astrenska Insurance Limited,Upheld,,Insurance
46,DRN-4765709,Travel,No,No,Yes,No,Yes,Male,decision/DRN-4765709.pdf,Decision Reference DRN-4765709,10-Jun-24,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
47,DRN-4792353,Not specified,Not specified,Yes,Yes,Not specified,Not specified,Not specified,decision/DRN-4792353.pdf,Decision Reference DRN-4792353,10-Jun-24,Personal Assurance plc,Not upheld,,Insurance
48,DRN-4840158,Legal Expenses and Monetary Loss,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4840158.pdf,Decision Reference DRN-4840158,10-Jun-24,U K Insurance Limited,Upheld,,Insurance
49,DRN-4777679,Personal Belongings,No,No,Yes,No,Yes,Female,decision/DRN-4777679.pdf,Decision Reference DRN-4777679,9-Jun-24,Aviva Insurance Limited,Upheld,,Insurance
50,DRN-4823162,Motor,No,Yes,Yes,No,No,Male,decision/DRN-4823162.pdf,Decision Reference DRN-4823162,8-Jun-24,One Insurance Limited,Upheld,,Insurance
51,DRN-4823452,Motor,Yes,Yes,Yes,No,Yes,Male,decision/DRN-4823452.pdf,Decision Reference DRN-4823452,7-Jun-24,Tesco Underwriting Limited,Upheld,,Insurance
52,DRN-4753067,Motor,No,Yes,Yes,No,No,Female,decision/DRN-4753067.pdf,Decision Reference DRN-4753067,7-Jun-24,U K Insurance Limited,Not upheld,,Insurance
53,DRN-4819794,Legal Expenses and Monetary Loss,No,No,Yes,No,Yes,Male,decision/DRN-4819794.pdf,Decision Reference DRN-4819794,7-Jun-24,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
54,DRN-4797675,Household and Commercial Property,No,Yes,Yes,Yes,No,Male and Female,decision/DRN-4797675.pdf,Decision Reference DRN-4797675,7-Jun-24,Aviva Insurance Limited,Not upheld,,Insurance
55,DRN-4652668,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4652668.pdf,Decision Reference DRN-4652668,7-Jun-24,Broker Direct Plc,Upheld,,Insurance
56,DRN-4816356,Travel,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4816356.pdf,Decision Reference DRN-4816356,7-Jun-24,Euroins AD,Upheld,,Insurance
57,DRN-4760728,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4760728.pdf,Decision Reference DRN-4760728,7-Jun-24,British Gas Insurance Limited,Upheld,,Insurance
58,DRN-4838920,Household and Commercial Property,Yes,Yes,Yes,No,Yes,Male,decision/DRN-4838920.pdf,Decision Reference DRN-4838920,7-Jun-24,U K Insurance Limited,Not upheld,,Insurance
59,DRN-4838777,Household and Commercial Property,Yes,No,Yes,No,Yes,Male,decision/DRN-4838777.pdf,Decision Reference DRN-4838777,7-Jun-24,U K Insurance Limited,Not upheld,,Insurance
60,DRN-4841002,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4841002.pdf,Decision Reference DRN-4841002,7-Jun-24,Advantage Insurance Company Limited,Not upheld,,Insurance
61,DRN-4821240,Household and Commercial Property,Yes,Yes,Yes,No,Yes,Male and Female,decision/DRN-4821240.pdf,Decision Reference DRN-4821240,7-Jun-24,British Gas Insurance Limited,Upheld,,Insurance
62,DRN-4800997,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4800997.pdf,Decision Reference DRN-4800997,7-Jun-24,Munich Re Digital Partners Ltd,Not upheld,,Insurance
63,DRN-4739410,Household and Commercial Property,No,No,Yes,No,No,Male,decision/DRN-4739410.pdf,Decision Reference DRN-4739410,7-Jun-24,Tesco Underwriting Limited,Not upheld,,Insurance
64,DRN-4833056,Motor,No,Yes,Yes,Yes,Yes,Not mentioned,decision/DRN-4833056.pdf,Decision Reference DRN-4833056,7-Jun-24,Allianz Insurance Plc,Upheld,,Insurance
65,DRN-4749686,Motor,Yes,Yes,Yes,Yes,No,Male,decision/DRN-4749686.pdf,Decision Reference DRN-4749686,7-Jun-24,esure Insurance Limited,Not upheld,,Insurance
66,DRN-4840357,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4840357.pdf,Decision Reference DRN-4840357,7-Jun-24,Liverpool Victoria Insurance Company Limited,Upheld,,Insurance
67,DRN-4840290,Personal Belongings,No,Yes,Yes,No,No,Female,decision/DRN-4840290.pdf,Decision Reference DRN-4840290,7-Jun-24,Assurant General Insurance Limited,Not upheld,,Insurance
68,DRN-4833774,Household and Commercial Property,No,No,Yes,No,No,Male,decision/DRN-4833774.pdf,Decision Reference DRN-4833774,7-Jun-24,National House-Building Council,Not upheld,,Insurance
69,DRN-4771000,Travel,No,No,Yes,No,Yes,Male,decision/DRN-4771000.pdf,Decision Reference DRN-4771000,7-Jun-24,AWP P&C S.A.,Not upheld,,Insurance
70,DRN-4771728,Motor,Yes,Yes,Yes,No,No,Male,decision/DRN-4771728.pdf,Decision Reference DRN-4771728,7-Jun-24,U K Insurance Limited,Not upheld,,Insurance
71,DRN-4812768,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4812768.pdf,Decision Reference DRN-4812768,7-Jun-24,Lloyds Bank General Insurance Limited,Upheld,,Insurance
72,DRN-4829439,Animal,Yes,No,Yes,Yes,Yes,Male,decision/DRN-4829439.pdf,Decision Reference DRN-4829439,7-Jun-24,Wakam,Upheld,,Insurance
73,DRN-4819186,Motor,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4819186.pdf,Decision Reference DRN-4819186,7-Jun-24,Ageas Insurance Limited,Not upheld,,Insurance
74,DRN-4727227,Travel,No,Yes,Yes,Yes,No,Female,decision/DRN-4727227.pdf,Decision Reference DRN-4727227,7-Jun-24,Starr International (Europe) Limited,Not upheld,,Insurance
75,DRN-4839808,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4839808.pdf,Decision Reference DRN-4839808,7-Jun-24,Ageas Insurance Limited,Not upheld,,Insurance
76,DRN-4829841,Travel,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4829841.pdf,Decision Reference DRN-4829841,7-Jun-24,Chaucer Insurance Company Designated Activity Company,Upheld,,Insurance
77,DRN-4829953,Travel,No,No,Yes,No,Yes,Male and Female,decision/DRN-4829953.pdf,Decision Reference DRN-4829953,7-Jun-24,U K Insurance Limited,Not upheld,,Insurance
78,DRN-4830080,Legal Expenses and Monetary Loss,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4830080.pdf,Decision Reference DRN-4830080,7-Jun-24,DAS Legal Expenses Insurance Company Limited,Upheld,,Insurance
79,DRN-4829643,Travel,No,No,Yes,No,Yes,Female,decision/DRN-4829643.pdf,Decision Reference DRN-4829643,6-Jun-24,Red Sands Insurance Company (Europe) Limited,Not upheld,,Insurance
80,DRN-4807997,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4807997.pdf,Decision Reference DRN-4807997,6-Jun-24,British Gas Services Limited,Not upheld,,Insurance
81,DRN-4739441,Motor,No,Yes,Yes,No,No,Female,decision/DRN-4739441.pdf,Decision Reference DRN-4739441,6-Jun-24,Ageas Insurance Limited,Not upheld,,Insurance
82,DRN-4837071,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4837071.pdf,Decision Reference DRN-4837071,6-Jun-24,Great Lakes Insurance SE,Upheld,,Insurance
83,DRN-4815121,Motor,No,No,Yes,No,Yes,Male and Female,decision/DRN-4815121.pdf,Decision Reference DRN-4815121,6-Jun-24,The National Farmers' Union Mutual Insurance Society Limited,Not upheld,,Insurance
84,DRN-4736156,Travel,No,No,Yes,No,Yes,Male and Female,decision/DRN-4736156.pdf,Decision Reference DRN-4736156,6-Jun-24,Aviva Insurance Limited,Not upheld,,Insurance
85,DRN-4834556,Household and Commercial Property,No,No,Yes,No,Yes,Male,decision/DRN-4834556.pdf,Decision Reference DRN-4834556,6-Jun-24,Society of Lloyd's,Not upheld,,Insurance
86,DRN-4653615,Motor,Yes,Yes,Yes,Yes,No,Male,decision/DRN-4653615.pdf,Decision Reference DRN-4653615,6-Jun-24,esure Insurance Limited,Upheld,,Insurance
87,DRN-4838170,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4838170.pdf,Decision Reference DRN-4838170,6-Jun-24,Accredited Insurance (Europe) Ltd,Upheld,,Insurance
88,DRN-4798657,Household and Commercial Property,No,No,Yes,No,Yes,Male,decision/DRN-4798657.pdf,Decision Reference DRN-4798657,6-Jun-24,Fairmead Insurance Limited,Upheld,,Insurance
89,DRN-4757581,Household and Commercial Property,No,No,Yes,No,Yes,Male,decision/DRN-4757581.pdf,Decision Reference DRN-4757581,6-Jun-24,Accredited Insurance (Europe) Ltd,Not upheld,,Insurance
90,DRN-4549032,Household and Commercial Property,No,Yes,Yes,No,Yes,Female,decision/DRN-4549032.pdf,Decision Reference DRN-4549032,6-Jun-24,Amtrust Europe Limited,Upheld,,Insurance
91,DRN-4769139,Household and Commercial Property,Yes,Yes,Yes,Yes,No,Male and Female,decision/DRN-4769139.pdf,Decision Reference DRN-4769139,6-Jun-24,Zurich Insurance PLC,Not upheld,,Insurance
92,DRN-4727896,Household and Commercial Property,Yes,Yes,Yes,Yes,Yes,Male,decision/DRN-4727896.pdf,Decision Reference DRN-4727896,6-Jun-24,HDI Global Specialty SE,Upheld,,Insurance
93,DRN-4832142,Investment,No,Yes,Yes,No,No,Male and Female,decision/DRN-4832142.pdf,Decision Reference DRN-4832142,6-Jun-24,The Prudential Assurance Company Limited,Not upheld,,Insurance
94,DRN-4817045,Health,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4817045.pdf,Decision Reference DRN-4817045,6-Jun-24,AXA PPP Healthcare Limited,Upheld,,Insurance
95,DRN-4803829,Household and Commercial Property,Yes,No,Yes,No,No,Male,decision/DRN-4803829.pdf,Decision Reference DRN-4803829,6-Jun-24,U K Insurance Limited,Not upheld,,Insurance
96,DRN-4669881,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4669881.pdf,Decision Reference DRN-4669881,6-Jun-24,National House-Building Council,Not upheld,,Insurance
97,DRN-4716809,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4716809.pdf,Decision Reference DRN-4716809,6-Jun-24,Automobile Association Insurance Services Limited,Not upheld,,Insurance
98,DRN-4837277,Legal Expenses and Monetary Loss,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4837277.pdf,Decision Reference DRN-4837277,6-Jun-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
99,DRN-4837259,Household and Commercial Property,No,Yes,Yes,No,No,Female,decision/DRN-4837259.pdf,Decision Reference DRN-4837259,6-Jun-24,Domestic & General Insurance Plc,Not upheld,,Insurance
100,DRN-4837219,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4837219.pdf,Decision Reference DRN-4837219,6-Jun-24,Aviva Insurance Limited,Upheld,,Insurance
101,DRN-4811386,Not specified,No,No,No,No,Not specified,Not specified,decision/DRN-4811386.pdf,Decision Reference DRN-4811386,6-Jun-24,Alwyn Insurance Company Limited,Upheld,,Insurance
102,DRN-4752730,Health,No,No,Yes,No,Yes,Female,decision/DRN-4752730.pdf,Decision Reference DRN-4752730,5-Jun-24,Aviva Life & Pensions UK Limited,Not upheld,,Insurance
103,DRN-4760531,Health,Yes,Yes,Yes,Yes,Yes,Male,decision/DRN-4760531.pdf,Decision Reference DRN-4760531,5-Jun-24,Legal and General Assurance Society Limited,Not upheld,,Insurance
104,DRN-4741119,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4741119.pdf,Decision Reference DRN-4741119,5-Jun-24,Covea Insurance plc,Upheld,,Insurance
105,DRN-4803716,Motor,Yes,Yes,Yes,No,Yes,Female,decision/DRN-4803716.pdf,Decision Reference DRN-4803716,5-Jun-24,esure Insurance Limited,Upheld,,Insurance
106,DRN-4659304,Household and Commercial Property,Yes,Yes,Yes,No,No,Male,decision/DRN-4659304.pdf,Decision Reference DRN-4659304,5-Jun-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
107,DRN-4389712,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4389712.pdf,Decision Reference DRN-4389712,5-Jun-24,Lloyds Bank General Insurance Limited,Not upheld,,Insurance
108,DRN-4067234,Household and Commercial Property,No,No,Yes,No,Yes,Not mentioned,decision/DRN-4067234.pdf,Decision Reference DRN-4067234,5-Jun-24,Society of Lloyd's,Not upheld,,Insurance
109,DRN-4834764,Household and Commercial Property,No,No,Yes,No,Yes,Male,decision/DRN-4834764.pdf,Decision Reference DRN-4834764,5-Jun-24,Ecclesiastical Insurance Office Plc,Not upheld,,Insurance
110,DRN-4831873,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4831873.pdf,Decision Reference DRN-4831873,5-Jun-24,Fortegra Europe Insurance Company Ltd,Upheld,,Insurance
111,DRN-4835957,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4835957.pdf,Decision Reference DRN-4835957,5-Jun-24,Ageas Insurance Limited,Upheld,,Insurance
112,DRN-4734549,Motor,No,Yes,Yes,Yes,No,Male,decision/DRN-4734549.pdf,Decision Reference DRN-4734549,5-Jun-24,U K Insurance Limited,Not upheld,,Insurance
113,DRN-4835725,Motor,No,Yes,Yes,No,No,Male and Female,decision/DRN-4835725.pdf,Decision Reference DRN-4835725,5-Jun-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
114,DRN-4833840,Household and Commercial Property,Yes,Yes,Yes,Yes,No,Female,decision/DRN-4833840.pdf,Decision Reference DRN-4833840,5-Jun-24,Great Lakes Insurance UK Limited,Upheld,,Insurance
115,DRN-4757052,Motor,No,No,Yes,No,Yes,Male,decision/DRN-4757052.pdf,Decision Reference DRN-4757052,5-Jun-24,U K Insurance Limited,Not upheld,,Insurance
116,DRN-4784897,Motor,Yes,No,Yes,No,Yes,Male,decision/DRN-4784897.pdf,Decision Reference DRN-4784897,5-Jun-24,Advantage Insurance Company Limited,Upheld,,Insurance
117,DRN-4511250,Household and Commercial Property,No,Yes,Yes,No,Yes,Male,decision/DRN-4511250.pdf,Decision Reference DRN-4511250,5-Jun-24,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
118,DRN-4834827,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4834827.pdf,Decision Reference DRN-4834827,5-Jun-24,QBE UK Limited,Upheld,,Insurance
119,DRN-4772185,Household and Commercial Property,No,No,Yes,No,Yes,Male and Female,decision/DRN-4772185.pdf,Decision Reference DRN-4772185,5-Jun-24,U K Insurance Limited,Not upheld,,Insurance
120,DRN-4761319,Household and Commercial Property,No,Yes,Yes,Yes,No,Male,decision/DRN-4761319.pdf,Decision Reference DRN-4761319,5-Jun-24,AXA Insurance UK Plc,Upheld,,Insurance
121,DRN-4752554,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4752554.pdf,Decision Reference DRN-4752554,5-Jun-24,Accredited Insurance (Europe) Ltd,Upheld,,Insurance
122,DRN-4833841,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4833841.pdf,Decision Reference DRN-4833841,5-Jun-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
123,DRN-4812503,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4812503.pdf,Decision Reference DRN-4812503,5-Jun-24,West Bay Insurance Plc,Not upheld,,Insurance
124,DRN-4812955,Legal Expenses and Monetary Loss,No,Yes,Yes,No,Yes,Male,decision/DRN-4812955.pdf,Decision Reference DRN-4812955,5-Jun-24,Royal & Sun Alliance Insurance Limited,Not upheld,,Insurance
125,DRN-4829988,Travel,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4829988.pdf,Decision Reference DRN-4829988,5-Jun-24,Astrenska Insurance Limited,Not upheld,,Insurance
126,DRN-4751773,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4751773.pdf,Decision Reference DRN-4751773,5-Jun-24,AXA Insurance UK Plc,Not upheld,,Insurance
127,DRN-4793975,Motor,Yes,Yes,Yes,Yes,No,Female,decision/DRN-4793975.pdf,Decision Reference DRN-4793975,5-Jun-24,AXA Insurance UK Plc,Not upheld,,Insurance
128,DRN-4756495,Household and Commercial Property,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4756495.pdf,Decision Reference DRN-4756495,5-Jun-24,esure Insurance Limited,Upheld,,Insurance
129,DRN-4697578,Payment Protection,Yes,No,Yes,No,Yes,Male,decision/DRN-4697578.pdf,Decision Reference DRN-4697578,5-Jun-24,Andrea Irving-Morse Associates Limited,Not upheld,,Insurance
130,DRN-4741019,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4741019.pdf,Decision Reference DRN-4741019,5-Jun-24,Accredited Insurance (Europe) Ltd,Not upheld,,Insurance
131,DRN-4646737,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4646737.pdf,Decision Reference DRN-4646737,5-Jun-24,Aviva Insurance Limited,Upheld,,Insurance
132,DRN-4830094,Household and Commercial Property,Yes,No,Yes,No,Yes,Male,decision/DRN-4830094.pdf,Decision Reference DRN-4830094,5-Jun-24,AA Underwriting Insurance Company Limited,Upheld,,Insurance
133,DRN-4767692,Life,No,Yes,Yes,No,No,Female,decision/DRN-4767692.pdf,Decision Reference DRN-4767692,4-Jun-24,ReAssure Limited,Not upheld,,Insurance
134,DRN-4773594,Legal Expenses and Monetary Loss,No,Yes,Yes,No,Yes,Male and Female,decision/DRN-4773594.pdf,Decision Reference DRN-4773594,4-Jun-24,Fairmead Insurance Limited,Upheld,,Insurance
135,DRN-4783170,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4783170.pdf,Decision Reference DRN-4783170,4-Jun-24,Admiral Insurance (Gibraltar) Limited,Not upheld,,Insurance
136,DRN-4790560,Motor,No,Yes,Yes,No,Yes,Male,decision/DRN-4790560.pdf,Decision Reference DRN-4790560,4-Jun-24,Advantage Insurance Company Limited,Not upheld,,Insurance
137,DRN-4722145,Travel,No,Yes,Yes,Yes,Yes,Female,decision/DRN-4722145.pdf,Decision Reference DRN-4722145,4-Jun-24,AWP P&C S.A.,Not upheld,,Insurance
138,DRN-4788085,Household and Commercial Property,No,No,Yes,No,Yes,Female,decision/DRN-4788085.pdf,Decision Reference DRN-4788085,4-Jun-24,Lloyds Bank General Insurance Limited,Not upheld,,Insurance
